term,coefficient,odds_ratio,direction,abs_effect
family_history_Yes,1.5496518208819545,4.709830032607426,Raises odds,3.7098300326074263
coworkers_Yes,0.824887695379704,2.281624513965768,Raises odds,1.281624513965768
leave_Very difficult,0.7407029442822762,2.097409358334659,Raises odds,1.0974093583346591
gender_Non-binary / other,0.6160735851314758,1.8516434297067694,Raises odds,0.8516434297067694
leave_Somewhat difficult,0.596261993335004,1.8153204222775527,Raises odds,0.8153204222775527
care_options_Yes,0.5957839106859935,1.814452756505769,Raises odds,0.8144527565057691
region_Rest of world,-0.8144579033592053,0.4428793457044883,Lowers odds,0.5571206542955117
mental_health_interview_Yes,0.4345213711685177,1.5442237720238816,Raises odds,0.5442237720238816
coworkers_Some of them,0.400981080305096,1.4932890156601135,Raises odds,0.4932890156601135
supervisor_Yes,-0.6763487422843109,0.5084701627103007,Lowers odds,0.49152983728969935
gender_Male,-0.6693294852586876,0.5120518009864528,Lowers odds,0.48794819901354725
support_score,0.3295091016523021,1.3902854720789717,Raises odds,0.3902854720789717
seek_help_Yes,-0.4785478088631458,0.6196826363427956,Lowers odds,0.38031736365720437
supervisor_Some of them,-0.45498219300821346,0.6344592656585712,Lowers odds,0.36554073434142875
openness_score,0.3065952878193654,1.358790937534103,Raises odds,0.35879093753410296
age_group_Under 25,0.283145998966447,1.327298931943924,Raises odds,0.3272989319439239
mental_health_consequence_No,-0.30929012636857395,0.7339677957218035,Lowers odds,0.2660322042781965
age_group_nan,0.22965259603281918,1.2581628432340535,Raises odds,0.2581628432340535
benefits_Yes,0.2157724733882918,1.2408200273040753,Raises odds,0.24082002730407526
seek_help_No,-0.2697186155685007,0.763594327665845,Lowers odds,0.236405672334155
obs_consequence_Yes,0.20548928978989622,1.2281258274057851,Raises odds,0.22812582740578513
wellness_program_No,0.19965496693670015,1.2209814065193028,Raises odds,0.22098140651930276
no_employees_500-1000,-0.2204749733349363,0.8021377134423183,Lowers odds,0.19786228655768168
region_Europe (other),0.17190442241961731,1.1875643232649227,Raises odds,0.18756432326492267
stigma_score,0.16612644888262185,1.1807223933115207,Raises odds,0.18072239331152073
no_employees_More than 1000,-0.1771620356472558,0.8376440453309417,Lowers odds,0.16235595466905828
region_Canada,0.1354689221064846,1.1450736088057718,Raises odds,0.1450736088057718
self_employed_Yes,-0.15218365987558166,0.8588305335467149,Lowers odds,0.1411694664532851
anonymity_Yes,0.12824924099850027,1.1368363136071815,Raises odds,0.13683631360718151
remote_work_Yes,0.12269601590924407,1.1305407023201817,Raises odds,0.13054070232018167
care_options_Not sure,-0.1280978436599413,0.8797672952812654,Lowers odds,0.1202327047187346
region_United States,0.06865628917880282,1.0710680082099877,Raises odds,0.07106800820998771
age_group_50+,0.06402305698516308,1.0661169799215087,Raises odds,0.06611697992150867
benefits_No,-0.054885430729557816,0.9465935922784442,Lowers odds,0.053406407721555804
leave_Somewhat easy,-0.05140125773811395,0.949897440353406,Lowers odds,0.05010255964659405
age_group_30-34,-0.0488977310256869,0.9522785132655732,Lowers odds,0.04772148673442678
wellness_program_Yes,-0.04702810962858476,0.9540605789249206,Lowers odds,0.04593942107507942
mental_health_interview_No,0.041806941686204246,1.0426931587351054,Raises odds,0.042693158735105374
no_employees_26-100,0.03620246220065882,1.0368657513631143,Raises odds,0.03686575136311432
Age,0.03519322605739469,1.0358198368472689,Raises odds,0.03581983684726886
tech_company_Yes,-0.034652861616625105,0.9659406731476449,Lowers odds,0.03405932685235513
leave_Very easy,-0.03233866333037219,0.9681786399487446,Lowers odds,0.031821360051255354
no_employees_6-25,-0.024016647091038176,0.9762694575760958,Lowers odds,0.023730542423904155
age_group_35-39,-0.019688143311321505,0.9805044024886271,Lowers odds,0.019495597511372864
no_employees_100-500,0.017646500565205045,1.0178031199613802,Raises odds,0.017803119961380176
age_group_40-49,-0.01615874189397559,0.9839711102194371,Lowers odds,0.016028889780562938
mental_health_consequence_Yes,0.014330425790979798,1.0144335985902615,Raises odds,0.014433598590261498
mental_vs_physical_Yes,-0.00885879962347025,0.9911803239274443,Lowers odds,0.008819676072555738
anonymity_No,0.004108183994330853,1.0041166341498318,Raises odds,0.004116634149831766
mental_vs_physical_No,0.0008775906584010653,1.000877975853756,Raises odds,0.0008779758537560411
